name,address,lat,lon,status
Total Body,"4494 Southside Blvd Jacksonville, FL 32216",30.2635138,-81.558094,Inactive
New You Delray Beach,"200 NE 2nd Ave, STE 104, Delray Beach, FL 33444",26.4605,-80.0731,Inactive
Bio Lift,"1880 N Congress Ave STE 330, Boynton Beach, FL 33426",26.5457479,-80.090054,Inactive
Melle Soul,"12247 Queenston Blvd suite A, Houston, TX 77095",29.9053067,-95.669627,Inactive
Arizona Med Laser,"5111 N Scottsdale Rd Suite 208, Scottsdale, AZ 85250",32.8086018,-111.63483,Service Only
Arizona Med Laser,"5701 W Talavi Blvd, Suite 101 Glendale, AZ 85306",33.6362724,-112.18184,Service Only
The Med Club,"139 NW 136th ave, Sunrise, FL 33325",26.1201423,-80.330292,Service Only
House of Riley,"2901 S Capital of Texas Hwy, Austin, TX 78746",30.2540028,-97.807358,Inactive
Introstem Oregon,"1600 N Riverside Ave Unit 1136 Rogue Valley Mall Medford, Or 97501",42.3442688,-122.87727,Inactive
Rachel's Best Soap,1595 Highway 36 W Roseville MN 55113,45.0128434,-93.1704907,Inactive
Inglot,"4400 Sharon Rd, Charlotte, NC 28211",35.1529082,-80.833451,Inactive
The Charcoal World,"3111 W Chandler Blvd Chandler, AZ 85226",33.3006457,-111.89891,Inactive
Donna Ella,"5085 Westheimer Rd, Houston TX, 77056",29.7392661,-95.461281,Service Only
Halo Spa Center,"20880 W Dixie Hwy, Miami, FL 33180",25.9686173,-80.148176,Service Only
Forever Young,"4400 Sharon Rd, Charlotte, NC, 28211 (UNIT N10A)",35.1529082,-80.833451,Inactive
Skin Medical Spa,4501 Mission Dr. Suite 2A San Diego CA 92109,39.836249,-86.271654,Service Only
Voupre Portland,"635 SW Morrison St Portland, OR 97205",45.519345,-122.6792,Inactive
You Glow SE,"8180 Macleod Trail SE Unit 26, Calgary, AB T2H 2B8",51.0478828,-114.05795,Service Only
Nuderma Med Spa,"15725 Pomerado Rd, Poway, CA 92064",33.000505,-117.05741,Inactive
Moana Crystals & Beauty,"2250 Kalakaua Ave suite 217 Honolulu, HI, 96815",21.2794091,-157.8285,Inactive
New You Weston,"2201 N Commerce Pkwy, Weston, FL 33326",26.0925311,-80.367684,Inactive
You Glow Vancouver,"2678 W Broadway Suite #207, Vancouver, BC V6K 2G3, Canada",49.2638435,-123.16624,Service Only
Opal MD,"22554 Ventura Blvd Ste 109, Woodland Hills, CA 91364",34.167224,-118.61835,Service Only
Equanimity Wellness Studio,"11661 Preston Rd Suite #170, Dallas, TX 75230",32.9090326,-96.804835,Inactive
You Glow NW Calgary,"Unit 226, 1829 Ranchlands Blvd NW, Calgary, Alberta. T3G 2A7",51.12302,-114.19751,Service Only
Lily Beauty Temecula,"29049 Overland Dr, Temecula #A CA 92591",33.51931,-117.15209,Service Only
Lily Beauty San Rafael,"670 Las Gallinas Ave, San Rafael, CA 94903",38.006344,-122.54422,Service Only
Laguna Beauty Med Spa,"25251 Paseo de Alicia, Laguna Hills, Unit 100#, CA 92653",33.6017651,-117.68892,Service Only
Oasis Aesthetics Spa,"1555 Marine Drive West, Suite 210West Vancouver, BC V7V 1H9",49.3287174,-123.15804,Service Only
Elev8 med Spa,10752 N 89th pl Ste c227 Scottsdale AZ 85260,33.4353338,-111.63763,Service Only
